sms,amount,transaction_type,bank,merchant,account,date,reference,category
Rs 9639.16 credited to Amazon from your A/c x2189 on 07/07/2024. Ref 6729442637,9639.16,credited,HSBC,Amazon,x2189,07/07/2024,6729442637,Shopping
Rs 450.39 debited to Flipkart from your A/c x3790 on 25/01/2025. Ref 5288761311,450.39,debited,ICICI,Flipkart,x3790,25/01/2025,5288761311,Grocery
Rs 3233.75 sent to BigBasket from your A/c x9080 on 25/01/2024. Ref 4361784422,3233.75,sent,Axis,BigBasket,x9080,25/01/2024,4361784422,Transport
Rs 2769.18 credited to Flipkart from your A/c x3319 on 24/12/2023. Ref 1722115837,2769.18,credited,Axis,Flipkart,x3319,24/12/2023,1722115837,Grocery
Rs 8920.24 debited to Flipkart from your A/c x5905 on 01/09/2024. Ref 4166073710,8920.24,debited,Kotak,Flipkart,x5905,01/09/2024,4166073710,Grocery
Rs 4181.44 sent to Amazon from your A/c x2766 on 08/02/2024. Ref 3712768546,4181.44,sent,SBI,Amazon,x2766,08/02/2024,3712768546,Shopping
Rs 5945.03 received to Flipkart from your A/c x9512 on 12/05/2024. Ref 4106478774,5945.03,received,SBI,Flipkart,x9512,12/05/2024,4106478774,Grocery
Rs 9904.97 received to Flipkart from your A/c x1351 on 12/09/2024. Ref 5713595570,9904.97,received,HSBC,Flipkart,x1351,12/09/2024,5713595570,Grocery
Rs 3007.4 sent to Uber from your A/c x8546 on 04/11/2023. Ref 7023572457,3007.4,sent,Axis,Uber,x8546,04/11/2023,7023572457,Shopping
Rs 7556.68 credited to Swiggy from your A/c x9420 on 20/10/2023. Ref 8962199362,7556.68,credited,HSBC,Swiggy,x9420,20/10/2023,8962199362,Food
Rs 9726.5 credited to Zomato from your A/c x6975 on 15/04/2023. Ref 1529576440,9726.5,credited,HSBC,Zomato,x6975,15/04/2023,1529576440,Food
Rs 6590.6 credited to Amazon from your A/c x7183 on 06/12/2023. Ref 8713493118,6590.6,credited,ICICI,Amazon,x7183,06/12/2023,8713493118,Shopping
Rs 9803.19 credited to BigBasket from your A/c x7675 on 13/07/2024. Ref 8815318390,9803.19,credited,HSBC,BigBasket,x7675,13/07/2024,8815318390,Transport
Rs 1882.74 credited to Uber from your A/c x6452 on 28/09/2023. Ref 8192268139,1882.74,credited,Kotak,Uber,x6452,28/09/2023,8192268139,Shopping
Rs 5590.75 received to BigBasket from your A/c x5318 on 16/01/2025. Ref 5918523957,5590.75,received,HDFC,BigBasket,x5318,16/01/2025,5918523957,Transport
Rs 899.12 credited to BigBasket from your A/c x5124 on 25/11/2024. Ref 3004107580,899.12,credited,HSBC,BigBasket,x5124,25/11/2024,3004107580,Transport
Rs 4099.52 credited to BigBasket from your A/c x7871 on 17/12/2024. Ref 6946001394,4099.52,credited,SBI,BigBasket,x7871,17/12/2024,6946001394,Transport
Rs 264.05 received to Uber from your A/c x5193 on 18/06/2024. Ref 6476402893,264.05,received,Kotak,Uber,x5193,18/06/2024,6476402893,Shopping
Rs 447.27 received to Uber from your A/c x4941 on 08/01/2024. Ref 9036423849,447.27,received,ICICI,Uber,x4941,08/01/2024,9036423849,Shopping
Rs 6892.25 credited to Flipkart from your A/c x3194 on 01/01/2025. Ref 4692250594,6892.25,credited,Kotak,Flipkart,x3194,01/01/2025,4692250594,Grocery
Rs 5270.53 credited to Amazon from your A/c x3486 on 21/06/2024. Ref 8546200222,5270.53,credited,ICICI,Amazon,x3486,21/06/2024,8546200222,Shopping
Rs 7499.69 debited to Swiggy from your A/c x8619 on 18/04/2023. Ref 6679855782,7499.69,debited,HDFC,Swiggy,x8619,18/04/2023,6679855782,Food
Rs 5152.96 received to Amazon from your A/c x9652 on 30/12/2023. Ref 7979851783,5152.96,received,Kotak,Amazon,x9652,30/12/2023,7979851783,Shopping
Rs 3418.75 credited to Uber from your A/c x2580 on 31/05/2024. Ref 2972793773,3418.75,credited,Kotak,Uber,x2580,31/05/2024,2972793773,Shopping
Rs 4675.46 sent to Flipkart from your A/c x8267 on 08/10/2023. Ref 8046571877,4675.46,sent,HSBC,Flipkart,x8267,08/10/2023,8046571877,Grocery
Rs 4344.58 sent to Swiggy from your A/c x3444 on 31/07/2023. Ref 3942736770,4344.58,sent,SBI,Swiggy,x3444,31/07/2023,3942736770,Food
Rs 2347.22 received to Amazon from your A/c x8349 on 03/07/2023. Ref 5888317992,2347.22,received,Axis,Amazon,x8349,03/07/2023,5888317992,Shopping
Rs 6801.75 credited to Amazon from your A/c x6928 on 06/09/2023. Ref 2423946319,6801.75,credited,ICICI,Amazon,x6928,06/09/2023,2423946319,Shopping
Rs 784.23 debited to Swiggy from your A/c x3848 on 25/10/2023. Ref 9930981200,784.23,debited,HDFC,Swiggy,x3848,25/10/2023,9930981200,Food
Rs 7730.98 debited to Amazon from your A/c x4131 on 21/03/2024. Ref 3766458808,7730.98,debited,SBI,Amazon,x4131,21/03/2024,3766458808,Shopping
Rs 3805.09 sent to Swiggy from your A/c x3688 on 06/04/2023. Ref 7879312445,3805.09,sent,Kotak,Swiggy,x3688,06/04/2023,7879312445,Food
Rs 3255.2 received to BigBasket from your A/c x1533 on 02/09/2023. Ref 3152233666,3255.2,received,HDFC,BigBasket,x1533,02/09/2023,3152233666,Transport
Rs 1629.68 debited to Amazon from your A/c x9318 on 04/04/2024. Ref 8237143584,1629.68,debited,HSBC,Amazon,x9318,04/04/2024,8237143584,Shopping
Rs 8803.39 credited to Uber from your A/c x5460 on 01/12/2024. Ref 5897201289,8803.39,credited,HSBC,Uber,x5460,01/12/2024,5897201289,Shopping
Rs 614.73 sent to Amazon from your A/c x9003 on 16/01/2025. Ref 1592394493,614.73,sent,Kotak,Amazon,x9003,16/01/2025,1592394493,Shopping
Rs 4154.25 received to Uber from your A/c x3228 on 22/09/2024. Ref 1657826310,4154.25,received,Axis,Uber,x3228,22/09/2024,1657826310,Shopping
Rs 6554.83 sent to Zomato from your A/c x2478 on 23/04/2024. Ref 8000743974,6554.83,sent,Kotak,Zomato,x2478,23/04/2024,8000743974,Food
Rs 3238.14 credited to Swiggy from your A/c x7093 on 09/08/2024. Ref 5145758111,3238.14,credited,HSBC,Swiggy,x7093,09/08/2024,5145758111,Food
Rs 1094.77 credited to Flipkart from your A/c x3254 on 12/04/2023. Ref 3998857176,1094.77,credited,ICICI,Flipkart,x3254,12/04/2023,3998857176,Grocery
Rs 1846.95 sent to Amazon from your A/c x3106 on 22/05/2023. Ref 1406416655,1846.95,sent,SBI,Amazon,x3106,22/05/2023,1406416655,Shopping
Rs 3462.76 credited to Zomato from your A/c x4031 on 15/06/2024. Ref 2974782520,3462.76,credited,ICICI,Zomato,x4031,15/06/2024,2974782520,Food
Rs 7182.74 received to BigBasket from your A/c x7266 on 12/01/2025. Ref 6038619014,7182.74,received,ICICI,BigBasket,x7266,12/01/2025,6038619014,Transport
Rs 2156.91 sent to BigBasket from your A/c x1902 on 30/06/2023. Ref 2553277747,2156.91,sent,HSBC,BigBasket,x1902,30/06/2023,2553277747,Transport
Rs 9996.37 sent to Flipkart from your A/c x1821 on 05/07/2023. Ref 2689068911,9996.37,sent,SBI,Flipkart,x1821,05/07/2023,2689068911,Grocery
Rs 1757.97 credited to Uber from your A/c x1953 on 23/10/2023. Ref 6895157328,1757.97,credited,Axis,Uber,x1953,23/10/2023,6895157328,Shopping
Rs 7991.64 sent to Flipkart from your A/c x9084 on 20/03/2023. Ref 5007185377,7991.64,sent,HDFC,Flipkart,x9084,20/03/2023,5007185377,Grocery
Rs 2447.19 credited to Amazon from your A/c x9502 on 14/07/2023. Ref 5263644157,2447.19,credited,SBI,Amazon,x9502,14/07/2023,5263644157,Shopping
Rs 3277.07 sent to Amazon from your A/c x6703 on 29/11/2024. Ref 2798770601,3277.07,sent,Kotak,Amazon,x6703,29/11/2024,2798770601,Shopping
Rs 699.83 received to Flipkart from your A/c x5250 on 25/11/2023. Ref 1783210821,699.83,received,HSBC,Flipkart,x5250,25/11/2023,1783210821,Grocery
Rs 8977.8 credited to Zomato from your A/c x7320 on 14/08/2024. Ref 8621269260,8977.8,credited,ICICI,Zomato,x7320,14/08/2024,8621269260,Food
Rs 2838.09 sent to Swiggy from your A/c x4150 on 15/04/2023. Ref 7329765914,2838.09,sent,HDFC,Swiggy,x4150,15/04/2023,7329765914,Food
Rs 2968.65 debited to Zomato from your A/c x5562 on 07/04/2023. Ref 5397058355,2968.65,debited,HDFC,Zomato,x5562,07/04/2023,5397058355,Food
Rs 8777.55 received to Uber from your A/c x8961 on 18/02/2025. Ref 1702179765,8777.55,received,Kotak,Uber,x8961,18/02/2025,1702179765,Shopping
Rs 5875.98 received to Flipkart from your A/c x5793 on 22/10/2024. Ref 8984441035,5875.98,received,Axis,Flipkart,x5793,22/10/2024,8984441035,Grocery
Rs 7332.74 credited to Uber from your A/c x7014 on 12/10/2023. Ref 5449101545,7332.74,credited,Kotak,Uber,x7014,12/10/2023,5449101545,Shopping
Rs 1661.79 credited to BigBasket from your A/c x6450 on 22/10/2023. Ref 6823077275,1661.79,credited,Kotak,BigBasket,x6450,22/10/2023,6823077275,Transport
Rs 4997.36 sent to Zomato from your A/c x5823 on 05/10/2024. Ref 5750482158,4997.36,sent,ICICI,Zomato,x5823,05/10/2024,5750482158,Food
Rs 892.43 debited to Amazon from your A/c x2384 on 27/02/2025. Ref 4826803094,892.43,debited,SBI,Amazon,x2384,27/02/2025,4826803094,Shopping
Rs 188.42 received to Zomato from your A/c x6782 on 31/05/2023. Ref 7053187344,188.42,received,SBI,Zomato,x6782,31/05/2023,7053187344,Food
Rs 8028.41 received to Flipkart from your A/c x2988 on 19/04/2023. Ref 9316055617,8028.41,received,Kotak,Flipkart,x2988,19/04/2023,9316055617,Grocery
Rs 9213.02 credited to BigBasket from your A/c x2647 on 27/05/2024. Ref 1082118912,9213.02,credited,Kotak,BigBasket,x2647,27/05/2024,1082118912,Transport
Rs 5763.8 sent to Amazon from your A/c x3036 on 22/07/2023. Ref 4521604431,5763.8,sent,Axis,Amazon,x3036,22/07/2023,4521604431,Shopping
Rs 8378.94 debited to Uber from your A/c x8932 on 23/03/2023. Ref 7428848452,8378.94,debited,Kotak,Uber,x8932,23/03/2023,7428848452,Shopping
Rs 7022.67 credited to BigBasket from your A/c x2402 on 13/10/2023. Ref 2627347543,7022.67,credited,Kotak,BigBasket,x2402,13/10/2023,2627347543,Transport
Rs 3947.79 sent to BigBasket from your A/c x7322 on 04/12/2024. Ref 5671065564,3947.79,sent,HSBC,BigBasket,x7322,04/12/2024,5671065564,Transport
Rs 3559.06 received to Swiggy from your A/c x8127 on 10/03/2025. Ref 3369209225,3559.06,received,HDFC,Swiggy,x8127,10/03/2025,3369209225,Food
Rs 7392.4 debited to Swiggy from your A/c x4307 on 14/05/2024. Ref 2117516708,7392.4,debited,Axis,Swiggy,x4307,14/05/2024,2117516708,Food
Rs 8514.66 received to Zomato from your A/c x9697 on 12/04/2023. Ref 9207421263,8514.66,received,SBI,Zomato,x9697,12/04/2023,9207421263,Food
Rs 6768.32 debited to BigBasket from your A/c x3614 on 28/06/2023. Ref 7579300309,6768.32,debited,ICICI,BigBasket,x3614,28/06/2023,7579300309,Transport
Rs 3260.05 received to Zomato from your A/c x3676 on 08/03/2025. Ref 7838568247,3260.05,received,HSBC,Zomato,x3676,08/03/2025,7838568247,Food
Rs 7473.61 received to Zomato from your A/c x8253 on 08/01/2024. Ref 5305467585,7473.61,received,ICICI,Zomato,x8253,08/01/2024,5305467585,Food
Rs 9459.12 credited to Uber from your A/c x5714 on 21/06/2024. Ref 9409162022,9459.12,credited,HDFC,Uber,x5714,21/06/2024,9409162022,Shopping
Rs 4035.26 credited to Swiggy from your A/c x3415 on 05/06/2023. Ref 2766442904,4035.26,credited,SBI,Swiggy,x3415,05/06/2023,2766442904,Food
Rs 9858.54 sent to Uber from your A/c x8813 on 07/08/2024. Ref 5305603308,9858.54,sent,HDFC,Uber,x8813,07/08/2024,5305603308,Shopping
Rs 6555.01 credited to Flipkart from your A/c x5446 on 28/01/2024. Ref 2094381541,6555.01,credited,Kotak,Flipkart,x5446,28/01/2024,2094381541,Grocery
Rs 4909.22 credited to Zomato from your A/c x3446 on 23/12/2023. Ref 2707491186,4909.22,credited,Axis,Zomato,x3446,23/12/2023,2707491186,Food
Rs 3160.84 debited to Zomato from your A/c x8067 on 21/07/2024. Ref 8835499061,3160.84,debited,Axis,Zomato,x8067,21/07/2024,8835499061,Food
Rs 7769.18 credited to Zomato from your A/c x7140 on 29/09/2024. Ref 1451701895,7769.18,credited,ICICI,Zomato,x7140,29/09/2024,1451701895,Food
Rs 7453.07 credited to Zomato from your A/c x1814 on 31/03/2024. Ref 3866146677,7453.07,credited,ICICI,Zomato,x1814,31/03/2024,3866146677,Food
Rs 8056.16 received to Swiggy from your A/c x1175 on 30/12/2023. Ref 5062066442,8056.16,received,HDFC,Swiggy,x1175,30/12/2023,5062066442,Food
Rs 4738.68 received to BigBasket from your A/c x5808 on 20/05/2024. Ref 1356915726,4738.68,received,HSBC,BigBasket,x5808,20/05/2024,1356915726,Transport
Rs 2588.36 debited to BigBasket from your A/c x6793 on 17/03/2024. Ref 5162772948,2588.36,debited,SBI,BigBasket,x6793,17/03/2024,5162772948,Transport
Rs 7757.28 sent to BigBasket from your A/c x9569 on 22/01/2025. Ref 3302111918,7757.28,sent,HDFC,BigBasket,x9569,22/01/2025,3302111918,Transport
Rs 9797.58 debited to Zomato from your A/c x9050 on 17/12/2024. Ref 9541206467,9797.58,debited,HDFC,Zomato,x9050,17/12/2024,9541206467,Food
Rs 9644.5 received to Amazon from your A/c x3485 on 25/11/2023. Ref 2999858767,9644.5,received,Kotak,Amazon,x3485,25/11/2023,2999858767,Shopping
Rs 6508.48 credited to Swiggy from your A/c x6150 on 19/02/2024. Ref 8956589250,6508.48,credited,HDFC,Swiggy,x6150,19/02/2024,8956589250,Food
Rs 8085.17 received to BigBasket from your A/c x7259 on 29/09/2023. Ref 1249844090,8085.17,received,ICICI,BigBasket,x7259,29/09/2023,1249844090,Transport
Rs 8246.24 credited to Flipkart from your A/c x6668 on 05/04/2024. Ref 5222206693,8246.24,credited,Axis,Flipkart,x6668,05/04/2024,5222206693,Grocery
Rs 3024.09 debited to BigBasket from your A/c x4956 on 21/02/2024. Ref 1073265045,3024.09,debited,ICICI,BigBasket,x4956,21/02/2024,1073265045,Transport
Rs 1356.65 sent to Zomato from your A/c x7694 on 02/02/2024. Ref 5676339485,1356.65,sent,SBI,Zomato,x7694,02/02/2024,5676339485,Food
Rs 7353.82 debited to Swiggy from your A/c x3052 on 22/12/2024. Ref 9679938103,7353.82,debited,Kotak,Swiggy,x3052,22/12/2024,9679938103,Food
Rs 7401.78 received to Swiggy from your A/c x7140 on 03/02/2024. Ref 3430031087,7401.78,received,ICICI,Swiggy,x7140,03/02/2024,3430031087,Food
Rs 5662.28 sent to Zomato from your A/c x3194 on 07/03/2024. Ref 9671443839,5662.28,sent,Axis,Zomato,x3194,07/03/2024,9671443839,Food
Rs 4883.48 debited to Zomato from your A/c x5760 on 21/12/2024. Ref 1445224391,4883.48,debited,HDFC,Zomato,x5760,21/12/2024,1445224391,Food
Rs 8806.52 debited to Uber from your A/c x3580 on 28/02/2024. Ref 1646143664,8806.52,debited,HSBC,Uber,x3580,28/02/2024,1646143664,Shopping
Rs 3837.24 received to BigBasket from your A/c x4901 on 27/08/2023. Ref 8676916459,3837.24,received,HSBC,BigBasket,x4901,27/08/2023,8676916459,Transport
Rs 5326.09 debited to Amazon from your A/c x7856 on 10/09/2023. Ref 9187657578,5326.09,debited,Kotak,Amazon,x7856,10/09/2023,9187657578,Shopping
Rs 1076.1 debited to Amazon from your A/c x9280 on 20/08/2024. Ref 3751541524,1076.1,debited,HDFC,Amazon,x9280,20/08/2024,3751541524,Shopping
Rs 9746.78 received to Uber from your A/c x8400 on 13/09/2024. Ref 4392763887,9746.78,received,HSBC,Uber,x8400,13/09/2024,4392763887,Shopping
Rs 9448.74 debited to BigBasket from your A/c x1519 on 07/12/2024. Ref 9670676113,9448.74,debited,Kotak,BigBasket,x1519,07/12/2024,9670676113,Transport
Rs 3219.53 received to BigBasket from your A/c x2227 on 18/01/2024. Ref 8271239841,3219.53,received,ICICI,BigBasket,x2227,18/01/2024,8271239841,Transport
Rs 8297.15 credited to BigBasket from your A/c x5845 on 02/04/2023. Ref 2509446017,8297.15,credited,ICICI,BigBasket,x5845,02/04/2023,2509446017,Transport
Rs 5069.09 debited to Flipkart from your A/c x4044 on 09/04/2023. Ref 7672511302,5069.09,debited,HSBC,Flipkart,x4044,09/04/2023,7672511302,Grocery
Rs 5707.54 received to BigBasket from your A/c x2077 on 22/09/2024. Ref 8585388689,5707.54,received,Kotak,BigBasket,x2077,22/09/2024,8585388689,Transport
Rs 3619.78 credited to Amazon from your A/c x9356 on 25/08/2023. Ref 9044623988,3619.78,credited,HDFC,Amazon,x9356,25/08/2023,9044623988,Shopping
Rs 1795.27 received to Amazon from your A/c x5881 on 13/09/2024. Ref 5691755013,1795.27,received,SBI,Amazon,x5881,13/09/2024,5691755013,Shopping
Rs 6541.73 credited to Zomato from your A/c x7541 on 31/07/2023. Ref 8331903446,6541.73,credited,ICICI,Zomato,x7541,31/07/2023,8331903446,Food
Rs 9815.8 debited to Uber from your A/c x6095 on 08/08/2023. Ref 7961607671,9815.8,debited,ICICI,Uber,x6095,08/08/2023,7961607671,Shopping
Rs 1171.4 credited to Uber from your A/c x3058 on 30/11/2023. Ref 5780428470,1171.4,credited,SBI,Uber,x3058,30/11/2023,5780428470,Shopping
Rs 9661.54 debited to Zomato from your A/c x2287 on 15/11/2024. Ref 1042304127,9661.54,debited,HSBC,Zomato,x2287,15/11/2024,1042304127,Food
Rs 5256.22 received to Swiggy from your A/c x4732 on 23/11/2024. Ref 3719323212,5256.22,received,SBI,Swiggy,x4732,23/11/2024,3719323212,Food
Rs 3143.87 received to Amazon from your A/c x1943 on 26/10/2023. Ref 5198481652,3143.87,received,ICICI,Amazon,x1943,26/10/2023,5198481652,Shopping
Rs 3083.79 received to Zomato from your A/c x5307 on 12/07/2023. Ref 3617523255,3083.79,received,Axis,Zomato,x5307,12/07/2023,3617523255,Food
Rs 6748.04 credited to Zomato from your A/c x1975 on 13/11/2024. Ref 4990039449,6748.04,credited,HDFC,Zomato,x1975,13/11/2024,4990039449,Food
Rs 1966.68 debited to BigBasket from your A/c x1968 on 15/10/2024. Ref 1018699782,1966.68,debited,HSBC,BigBasket,x1968,15/10/2024,1018699782,Transport
Rs 5543.87 received to Swiggy from your A/c x2619 on 12/08/2024. Ref 5580720555,5543.87,received,HDFC,Swiggy,x2619,12/08/2024,5580720555,Food
Rs 8231.65 debited to Flipkart from your A/c x6141 on 30/11/2024. Ref 7540119426,8231.65,debited,HSBC,Flipkart,x6141,30/11/2024,7540119426,Grocery
Rs 9564.14 credited to Amazon from your A/c x6200 on 21/10/2024. Ref 6316150541,9564.14,credited,ICICI,Amazon,x6200,21/10/2024,6316150541,Shopping
Rs 3519.61 debited to BigBasket from your A/c x5775 on 27/09/2023. Ref 2676169679,3519.61,debited,HDFC,BigBasket,x5775,27/09/2023,2676169679,Transport
Rs 7457.05 sent to Swiggy from your A/c x1125 on 10/06/2023. Ref 7866145011,7457.05,sent,ICICI,Swiggy,x1125,10/06/2023,7866145011,Food
Rs 2715.39 debited to BigBasket from your A/c x8942 on 20/08/2024. Ref 2499574826,2715.39,debited,HDFC,BigBasket,x8942,20/08/2024,2499574826,Transport
Rs 1102.2 debited to Flipkart from your A/c x5255 on 14/02/2025. Ref 7178614648,1102.2,debited,HSBC,Flipkart,x5255,14/02/2025,7178614648,Grocery
Rs 5949.31 debited to Zomato from your A/c x2847 on 15/01/2024. Ref 3411228342,5949.31,debited,HSBC,Zomato,x2847,15/01/2024,3411228342,Food
Rs 2992.15 debited to Flipkart from your A/c x2983 on 06/07/2024. Ref 7643752971,2992.15,debited,ICICI,Flipkart,x2983,06/07/2024,7643752971,Grocery
Rs 9269.57 credited to Zomato from your A/c x4371 on 20/02/2024. Ref 3009511054,9269.57,credited,HSBC,Zomato,x4371,20/02/2024,3009511054,Food
Rs 5086.31 sent to Amazon from your A/c x2333 on 31/08/2024. Ref 7668460669,5086.31,sent,Axis,Amazon,x2333,31/08/2024,7668460669,Shopping
Rs 4439.46 received to Zomato from your A/c x2867 on 16/06/2023. Ref 8680545735,4439.46,received,SBI,Zomato,x2867,16/06/2023,8680545735,Food
Rs 6397.77 credited to Zomato from your A/c x3876 on 22/08/2023. Ref 1616678130,6397.77,credited,Kotak,Zomato,x3876,22/08/2023,1616678130,Food
Rs 8213.79 debited to Zomato from your A/c x5509 on 10/10/2023. Ref 6254730287,8213.79,debited,Axis,Zomato,x5509,10/10/2023,6254730287,Food
Rs 4112.25 debited to BigBasket from your A/c x9309 on 28/12/2023. Ref 9092121790,4112.25,debited,Kotak,BigBasket,x9309,28/12/2023,9092121790,Transport
Rs 7539.87 received to BigBasket from your A/c x5442 on 24/03/2023. Ref 4806540765,7539.87,received,SBI,BigBasket,x5442,24/03/2023,4806540765,Transport
Rs 4332.27 credited to Swiggy from your A/c x5672 on 24/12/2023. Ref 3465513229,4332.27,credited,SBI,Swiggy,x5672,24/12/2023,3465513229,Food
Rs 1479.86 debited to Flipkart from your A/c x5409 on 14/02/2025. Ref 2299545760,1479.86,debited,Axis,Flipkart,x5409,14/02/2025,2299545760,Grocery
Rs 7318.44 sent to Zomato from your A/c x2016 on 10/02/2025. Ref 2841707374,7318.44,sent,ICICI,Zomato,x2016,10/02/2025,2841707374,Food
Rs 6394.36 sent to BigBasket from your A/c x3936 on 03/07/2024. Ref 3113651610,6394.36,sent,Axis,BigBasket,x3936,03/07/2024,3113651610,Transport
Rs 8531.27 debited to BigBasket from your A/c x2725 on 23/04/2024. Ref 3502196505,8531.27,debited,ICICI,BigBasket,x2725,23/04/2024,3502196505,Transport
Rs 3750.56 debited to Uber from your A/c x7269 on 26/04/2023. Ref 8299535363,3750.56,debited,SBI,Uber,x7269,26/04/2023,8299535363,Shopping
Rs 6251.83 debited to Amazon from your A/c x6439 on 25/06/2024. Ref 4199182174,6251.83,debited,ICICI,Amazon,x6439,25/06/2024,4199182174,Shopping
Rs 7358.28 credited to Zomato from your A/c x6538 on 12/04/2024. Ref 3831783113,7358.28,credited,SBI,Zomato,x6538,12/04/2024,3831783113,Food
Rs 1136.62 credited to Uber from your A/c x9384 on 28/08/2023. Ref 1790815871,1136.62,credited,HSBC,Uber,x9384,28/08/2023,1790815871,Shopping
Rs 9823.77 received to Uber from your A/c x3031 on 21/02/2025. Ref 7753378465,9823.77,received,HSBC,Uber,x3031,21/02/2025,7753378465,Shopping
Rs 2526.25 credited to Flipkart from your A/c x8681 on 16/04/2024. Ref 5419562018,2526.25,credited,HSBC,Flipkart,x8681,16/04/2024,5419562018,Grocery
Rs 7448.34 sent to Swiggy from your A/c x9703 on 19/10/2023. Ref 3340630175,7448.34,sent,HSBC,Swiggy,x9703,19/10/2023,3340630175,Food
Rs 8831.33 credited to Flipkart from your A/c x6134 on 05/12/2023. Ref 1592401753,8831.33,credited,HSBC,Flipkart,x6134,05/12/2023,1592401753,Grocery
Rs 4911.2 sent to Zomato from your A/c x8009 on 07/03/2025. Ref 2384346695,4911.2,sent,Kotak,Zomato,x8009,07/03/2025,2384346695,Food
Rs 4700.67 sent to Zomato from your A/c x9058 on 10/07/2024. Ref 4261879247,4700.67,sent,Axis,Zomato,x9058,10/07/2024,4261879247,Food
Rs 781.84 credited to Amazon from your A/c x6717 on 30/01/2024. Ref 7659654719,781.84,credited,HDFC,Amazon,x6717,30/01/2024,7659654719,Shopping
Rs 3282.07 received to Zomato from your A/c x3556 on 07/10/2024. Ref 9832580950,3282.07,received,HDFC,Zomato,x3556,07/10/2024,9832580950,Food
Rs 7719.98 credited to Zomato from your A/c x8055 on 18/11/2023. Ref 6839847441,7719.98,credited,Kotak,Zomato,x8055,18/11/2023,6839847441,Food
Rs 3766.74 received to Swiggy from your A/c x9288 on 31/10/2024. Ref 7475112131,3766.74,received,ICICI,Swiggy,x9288,31/10/2024,7475112131,Food
Rs 8564.94 credited to Swiggy from your A/c x1684 on 14/03/2024. Ref 7952366989,8564.94,credited,HDFC,Swiggy,x1684,14/03/2024,7952366989,Food
Rs 5838.45 received to Uber from your A/c x4489 on 18/07/2023. Ref 7236529293,5838.45,received,ICICI,Uber,x4489,18/07/2023,7236529293,Shopping
Rs 8441.96 received to Swiggy from your A/c x1783 on 21/09/2024. Ref 1511452900,8441.96,received,Axis,Swiggy,x1783,21/09/2024,1511452900,Food
Rs 2184.69 sent to BigBasket from your A/c x7995 on 04/10/2023. Ref 7368439506,2184.69,sent,SBI,BigBasket,x7995,04/10/2023,7368439506,Transport
Rs 1382.33 credited to Amazon from your A/c x3792 on 09/12/2024. Ref 2981047320,1382.33,credited,HSBC,Amazon,x3792,09/12/2024,2981047320,Shopping
Rs 5536.84 credited to Zomato from your A/c x8585 on 11/03/2025. Ref 8691341038,5536.84,credited,Kotak,Zomato,x8585,11/03/2025,8691341038,Food
Rs 9789.27 credited to BigBasket from your A/c x9881 on 17/01/2024. Ref 4966190825,9789.27,credited,ICICI,BigBasket,x9881,17/01/2024,4966190825,Transport
Rs 5565.8 sent to Flipkart from your A/c x8922 on 22/09/2023. Ref 9451949924,5565.8,sent,ICICI,Flipkart,x8922,22/09/2023,9451949924,Grocery
Rs 8773.63 received to Zomato from your A/c x2580 on 05/12/2024. Ref 5632237627,8773.63,received,SBI,Zomato,x2580,05/12/2024,5632237627,Food
Rs 6121.63 debited to BigBasket from your A/c x3656 on 10/05/2024. Ref 9822753449,6121.63,debited,HDFC,BigBasket,x3656,10/05/2024,9822753449,Transport
Rs 4749.9 debited to Flipkart from your A/c x2071 on 13/04/2024. Ref 8485202814,4749.9,debited,HSBC,Flipkart,x2071,13/04/2024,8485202814,Grocery
Rs 8385.99 credited to Uber from your A/c x9861 on 27/02/2025. Ref 8168351341,8385.99,credited,Kotak,Uber,x9861,27/02/2025,8168351341,Shopping
Rs 3684.78 debited to Uber from your A/c x3430 on 11/05/2024. Ref 7955178610,3684.78,debited,HDFC,Uber,x3430,11/05/2024,7955178610,Shopping
Rs 1898.94 received to Amazon from your A/c x4360 on 10/06/2024. Ref 7976725265,1898.94,received,Kotak,Amazon,x4360,10/06/2024,7976725265,Shopping
Rs 6364.01 sent to Uber from your A/c x8876 on 11/01/2025. Ref 9095626290,6364.01,sent,ICICI,Uber,x8876,11/01/2025,9095626290,Shopping
Rs 7265.24 credited to BigBasket from your A/c x9628 on 15/07/2024. Ref 4967967694,7265.24,credited,SBI,BigBasket,x9628,15/07/2024,4967967694,Transport
Rs 161.08 credited to Flipkart from your A/c x5481 on 24/10/2024. Ref 5371546959,161.08,credited,Kotak,Flipkart,x5481,24/10/2024,5371546959,Grocery
Rs 3737.78 received to Amazon from your A/c x5293 on 26/05/2024. Ref 9493683532,3737.78,received,SBI,Amazon,x5293,26/05/2024,9493683532,Shopping
Rs 2610.14 sent to Flipkart from your A/c x9691 on 23/06/2024. Ref 7750011919,2610.14,sent,ICICI,Flipkart,x9691,23/06/2024,7750011919,Grocery
Rs 3553.23 received to BigBasket from your A/c x1225 on 06/02/2025. Ref 6478720860,3553.23,received,Kotak,BigBasket,x1225,06/02/2025,6478720860,Transport
Rs 6723.63 sent to Flipkart from your A/c x6648 on 01/12/2023. Ref 4180924291,6723.63,sent,Kotak,Flipkart,x6648,01/12/2023,4180924291,Grocery
Rs 219.89 credited to Amazon from your A/c x3134 on 20/05/2023. Ref 2258694467,219.89,credited,SBI,Amazon,x3134,20/05/2023,2258694467,Shopping
